cenario,ano,setor,janela,car,ar_medio,ar_std,n_dias,alpha,beta,r_squared,sigma_resid,n_obs_estimacao,est_inicio,est_fim,janela_inicio,janela_fim,t_stat_simples,p_value_simples,t_stat_silva,p_value_silva,t_stat_bmp,p_value_bmp,sig_5pct_simples,sig_10pct_simples,sig_5pct_silva,sig_5pct_bmp,selic_anual,ipca_anual,selic_proporcional,ipca_proporcional,car_excesso_selic,car_excesso_ipca
sem_crises,2002,Utilidade Pública,reacao_2turno,-0.0051808809745523396,-0.0004709891795047581,0.007196581911387708,11,-0.0006200999876403621,0.357052330342314,0.3799754950159968,0.009705581124787284,223,2001-09-28,2002-08-26,2002-10-21,2002-11-04,-0.21706060015280412,0.8325256076258636,0.1730906302565661,0.8664104390650658,0.3819640705900461,0.7124343764902159,False,False,False,False,0.1911,0.1253,0.008341666666666667,0.005469444444444444,-0.013522547641219008,-0.010650325418996784
sem_crises,2002,Utilidade Pública,ciclo_1sem,0.01583146104426841,0.00012976607413334762,0.008781908769685931,122,-0.0006200999876403621,0.357052330342314,0.3799754950159968,0.009705581124787284,223,2001-09-28,2002-08-26,2002-01-02,2002-06-30,0.16321202760993495,0.870623777916302,-0.8644862213971755,0.4097698959864995,-1.6912058444061084,0.12926115428519735,False,False,False,False,0.1911,0.1253,0.09251666666666666,0.06066111111111111,-0.07668520562239825,-0.0448296500668427
sem_crises,2002,Utilidade Pública,ciclo_2sem,-0.09034687916570583,-0.0007113927493362664,0.007641643290571993,127,-0.0006200999876403621,0.357052330342314,0.3799754950159968,0.009705581124787284,223,2001-09-28,2002-08-26,2002-07-01,2002-12-31,-1.0491184720965856,0.2961317408943418,1.8050792769206905,0.10454658606638612,1.7273309089446258,0.12237674739253168,False,False,False,False,0.1911,0.1253,0.09630833333333333,0.06314722222222222,-0.18665521249903916,-0.15349410138792804
sem_crises,2002,Utilidade Pública,estendida,-0.09034687916570583,-0.0007113927493362664,0.007641643290571993,127,-0.0006200999876403621,0.357052330342314,0.3799754950159968,0.009705581124787284,223,2001-09-28,2002-08-26,2002-07-01,2002-12-31,-1.0491184720965856,0.2961317408943418,1.8050792769206905,0.10454658606638612,1.7273309089446258,0.12237674739253168,False,False,False,False,0.1911,0.1253,0.09630833333333333,0.06314722222222222,-0.18665521249903916,-0.15349410138792804
sem_crises,2006,Bens Industriais,antecipacao_45,0.11828636177998278,0.0026285858173329506,0.005775512130790663,45,-0.001875821792470156,-0.06316818087322419,0.0004118687357709261,0.05056757388381687,223,2005-09-27,2006-08-18,2006-07-28,2006-09-29,3.0530781197287538,0.0038347786804782125,-0.39403052783008985,0.701830061927158,0.7004855537874141,0.4995971710252707,True,True,False,False,0.1513,0.0314,0.027017857142857142,0.0056071428571428565,0.09126850463712563,0.11267921892283993
sem_crises,2006,Bens Industriais,antecipacao_60,0.17126389017606844,0.0028543981696011406,0.006414300181485272,60,-0.001875821792470156,-0.06316818087322419,0.0004118687357709261,0.05056757388381687,223,2005-09-27,2006-08-18,2006-07-07,2006-09-29,3.446996947919668,0.0010511977088401014,-1.2359619418041685,0.24471788661244553,0.3998289198079959,0.6976894212263713,True,True,False,False,0.1513,0.0314,0.03602380952380952,0.007476190476190476,0.13524008065225893,0.16378769969987797
sem_crises,2006,Bens Industriais,reacao_curta,0.03856911761229695,0.0035062834192997228,0.006582144477783811,11,-0.001875821792470156,-0.06316818087322419,0.0004118687357709261,0.05056757388381687,223,2005-09-27,2006-08-18,2006-09-25,2006-10-09,1.7667534569792698,0.10771815218697345,-1.5786186017801782,0.14550343878383165,-1.4376272902148197,0.1810860801257086,False,False,False,False,0.1513,0.0314,0.006604365079365079,0.0013706349206349206,0.03196475253293187,0.03719848269166203
sem_crises,2006,Bens Industriais,reacao_media,0.06504879730454184,0.0030975617764067544,0.008042112675620654,21,-0.001875821792470156,-0.06316818087322419,0.0004118687357709261,0.05056757388381687,223,2005-09-27,2006-08-18,2006-09-18,2006-10-17,1.7650599889276404,0.09281950913156578,-2.1421120184492644,0.05782868939053776,-1.807162209623332,0.10086800683553943,False,True,False,False,0.1513,0.0314,0.012608333333333333,0.0026166666666666664,0.05244046397120851,0.06243213063787517
sem_crises,2006,Bens Industriais,reacao_ampla,0.1523553959544175,0.0037159852671809143,0.006558982656105398,41,-0.001875821792470156,-0.06316818087322419,0.0004118687357709261,0.05056757388381687,223,2005-09-27,2006-08-18,2006-09-01,2006-10-31,3.62768383113211,0.0008008807344666025,-1.3172966904617975,0.21712316841829837,-0.6729618705681601,0.5162210292279859,True,True,False,False,0.1513,0.0314,0.024616269841269838,0.005108730158730158,0.12773912611314767,0.14724666579568735
sem_crises,2006,Bens Industriais,reacao_2turno,0.07763235127149073,0.00705748647922643,0.005287680165510963,11,-0.001875821792470156,-0.06316818087322419,0.0004118687357709261,0.05056757388381687,223,2005-09-27,2006-08-18,2006-10-23,2006-11-07,4.4267115033305995,0.0012806668903424523,2.0058029398571193,0.07268161149618857,2.1296931490203357,0.059051784919301964,True,True,False,False,0.1513,0.0314,0.006604365079365079,0.0013706349206349206,0.07102798619212565,0.07626171635085581
