ticker_yf,status,TICKER_YF,SETOR_B3,TICKER_ORIGINAL
AMBP3.SA,ok,AMBP3.SA,Utilidade Pública,AMBP3
BRKM3.SA,ok,BRKM3.SA,Utilidade Pública,BRKM3
CSMG3.SA,ok,CSMG3.SA,Utilidade Pública,CSMG3
ENEV3.SA,ok,ENEV3.SA,Utilidade Pública,ENEV3
EQTL3.SA,ok,EQTL3.SA,Utilidade Pública,EQTL3
GEPA3.SA,ok,GEPA3.SA,Utilidade Pública,GEPA3
GPAR3.SA,ok,GPAR3.SA,Utilidade Pública,GPAR3
ORVR3.SA,ok,ORVR3.SA,Utilidade Pública,ORVR3
RNEW4.SA,ok,RNEW4.SA,Utilidade Pública,RNEW4
TAEE11.SA,ok,TAEE11.SA,Utilidade Pública,TAEE11
PTCA3.SA,falha,PTCA3.SA,Bens Industriais,PTCA3
IVPR3.SA,falha,IVPR3.SA,Construção e Transporte,IVPR3
RMPL3.SA,falha,RMPL3.SA,Construção e Transporte,RMPL3
WINE3.SA,falha,WINE3.SA,Consumo Cíclico,WINE3
CPGT3.SA,falha,CPGT3.SA,Utilidade Pública,CPGT3
BSEC3.SA,falha,BSEC3.SA,Financeiro,BSEC3
PAMP3.SA,falha,PAMP3.SA,Utilidade Pública,PAMP3
CHPC3.SA,falha,CHPC3.SA,Consumo Não Cíclico,CHPC3
PRCM3.SA,falha,PRCM3.SA,Comunicações,PRCM3
CRAD3.SA,falha,CRAD3.SA,Consumo Não Cíclico,CRAD3
OTRS3.SA,falha,OTRS3.SA,Financeiro,OTRS3
CBOH3.SA,falha,CBOH3.SA,"Petróleo, Gás e Biocombustíveis",CBOH3
CEMR3.SA,falha,CEMR3.SA,Utilidade Pública,CEMR3
ARND3.SA,falha,ARND3.SA,Financeiro,ARND3
EMCC3.SA,falha,EMCC3.SA,Construção e Transporte,EMCC3
VIPL3.SA,falha,VIPL3.SA,Materiais Básicos,VIPL3
HCAR3.SA,falha,HCAR3.SA,Saúde,HCAR3
PASS3.SA,falha,PASS3.SA,Utilidade Pública,PASS3
ENVI3.SA,falha,ENVI3.SA,Construção e Transporte,ENVI3
CPFT3.SA,falha,CPFT3.SA,Utilidade Pública,CPFT3
CPLD3.SA,falha,CPLD3.SA,Utilidade Pública,CPLD3
INBR3.SA,falha,INBR3.SA,Consumo Cíclico,INBR3
PTFE3.SA,falha,PTFE3.SA,Construção e Transporte,PTFE3
NISE3.SA,falha,NISE3.SA,Consumo Cíclico,NISE3
EMBR3.SA,falha,EMBR3.SA,Bens Industriais,EMBR3
CPLE6.SA,falha,CPLE6.SA,Utilidade Pública,CPLE6
RMSL3.SA,falha,RMSL3.SA,Construção e Transporte,RMSL3
NRT3.SA,falha,NRT3.SA,Utilidade Pública,NRT3
LUPO3.SA,falha,LUPO3.SA,Consumo Cíclico,LUPO3
ROVI3.SA,falha,ROVI3.SA,Construção e Transporte,ROVI3
BBML3.SA,falha,BBML3.SA,Construção e Transporte,BBML3
SNBP3.SA,falha,SNBP3.SA,Consumo Cíclico,SNBP3
ENMR3.SA,falha,ENMR3.SA,Utilidade Pública,ENMR3
RPAR3.SA,falha,RPAR3.SA,Utilidade Pública,RPAR3
TSOL3.SA,falha,TSOL3.SA,Construção e Transporte,TSOL3
VERO3.SA,falha,VERO3.SA,Construção e Transporte,VERO3
CARO3.SA,falha,CARO3.SA,Construção e Transporte,CARO3
FICA3.SA,falha,FICA3.SA,Construção e Transporte,FICA3
VPLT3.SA,falha,VPLT3.SA,Construção e Transporte,VPLT3
AUZZ3.SA,falha,AUZZ3.SA,Financeiro,AUZZ3
LXTP3.SA,falha,LXTP3.SA,Utilidade Pública,LXTP3
ANHB3.SA,falha,ANHB3.SA,Construção e Transporte,ANHB3
GSHC3.SA,falha,GSHC3.SA,Saúde,GSHC3
MANT3.SA,falha,MANT3.SA,Utilidade Pública,MANT3
ARBT3.SA,falha,ARBT3.SA,Construção e Transporte,ARBT3
GRU3.SA,falha,GRU3.SA,Construção e Transporte,GRU3
ENBR3.SA,falha,ENBR3.SA,Utilidade Pública,ENBR3
EZIN3.SA,falha,EZIN3.SA,Construção e Transporte,EZIN3
E050.SA,falha,E050.SA,Construção e Transporte,E050
TEGR3.SA,falha,TEGR3.SA,Construção e Transporte,TEGR3
PROM3.SA,falha,PROM3.SA,Utilidade Pública,PROM3
ZAMP3.SA,falha,ZAMP3.SA,Financeiro,ZAMP3
TJMM3.SA,falha,TJMM3.SA,Utilidade Pública,TJMM3
CRTM3.SA,falha,CRTM3.SA,Utilidade Pública,CRTM3
LIEN3.SA,falha,LIEN3.SA,Utilidade Pública,LIEN3
CGRD3.SA,falha,CGRD3.SA,Financeiro,CGRD3
ARGO3.SA,falha,ARGO3.SA,Utilidade Pública,ARGO3
LEAD3.SA,falha,LEAD3.SA,Financeiro,LEAD3
AJSH3.SA,falha,AJSH3.SA,Consumo Cíclico,AJSH3
AMZN3.SA,falha,AMZN3.SA,Consumo Cíclico,AMZN3
IFRS3.SA,falha,IFRS3.SA,Financeiro,IFRS3
MADE3.SA,falha,MADE3.SA,Consumo Não Cíclico,MADE3
CBML3.SA,falha,CBML3.SA,Materiais Básicos,CBML3
CORS3.SA,falha,CORS3.SA,Utilidade Pública,CORS3
ENSE3.SA,falha,ENSE3.SA,Utilidade Pública,ENSE3
FRNS3.SA,falha,FRNS3.SA,Construção e Transporte,FRNS3
INCE3.SA,falha,INCE3.SA,Construção e Transporte,INCE3
RIOM3.SA,falha,RIOM3.SA,Construção e Transporte,RIOM3
SCPI3.SA,falha,SCPI3.SA,Financeiro,SCPI3
KALU3.SA,falha,KALU3.SA,Consumo Cíclico,KALU3
NTSD3.SA,falha,NTSD3.SA,"Petróleo, Gás e Biocombustíveis",NTSD3
CCND3.SA,falha,CCND3.SA,Outros,CCND3
CSCF3.SA,falha,CSCF3.SA,Financeiro,CSCF3
ARIO3.SA,falha,ARIO3.SA,Utilidade Pública,ARIO3
EPON3.SA,falha,EPON3.SA,Construção e Transporte,EPON3
LTLA3.SA,falha,LTLA3.SA,Materiais Básicos,LTLA3
FOZR3.SA,falha,FOZR3.SA,Utilidade Pública,FOZR3
PARD3.SA,falha,PARD3.SA,Saúde,PARD3
ALRS3.SA,falha,ALRS3.SA,Comunicações,ALRS3
TBRS3.SA,falha,TBRS3.SA,Construção e Transporte,TBRS3
BAGE3.SA,falha,BAGE3.SA,Construção e Transporte,BAGE3
AUOP3.SA,falha,AUOP3.SA,Utilidade Pública,AUOP3
CNSY3.SA,falha,CNSY3.SA,Consumo Cíclico,CNSY3
CTAX3.SA,falha,CTAX3.SA,Comunicações,CTAX3
RISU3.SA,falha,RISU3.SA,Construção e Transporte,RISU3
MRFG3.SA,falha,MRFG3.SA,Consumo Não Cíclico,MRFG3
CAGE3.SA,falha,CAGE3.SA,Utilidade Pública,CAGE3
LVTC3.SA,falha,LVTC3.SA,Consumo Cíclico,LVTC3
MIPA4.SA,falha,MIPA4.SA,Consumo Cíclico,MIPA4
CMGS3.SA,falha,CMGS3.SA,Construção e Transporte,CMGS3
HAUS3.SA,falha,HAUS3.SA,Outros,HAUS3
CEJA3.SA,falha,CEJA3.SA,Utilidade Pública,CEJA3
