setor,ano,abhar_vw,abhar_ew,n_ativos,bhar_medio,bhar_mediana,bhar_std,p_ttest,p_wilcoxon,tickers_validos,r2_medio,tipo
Construção e Transporte,2010,-0.018738938983509177,0.01918472385312872,36,0.01918472385312872,-0.010132149516431155,0.1463728989455669,0.43692277413902236,0.969057968002744,AZEV4.SA|CALI3.SA|SULT4.SA|CORR4.SA|CYRE3.SA|ETER3.SA|EUCA4.SA|GFSA3.SA|JFEN3.SA|PTBL3.SA|RSID3.SA|SOND5.SA|TPIS3.SA|TEND3.SA|DXCO3.SA|DIRR3.SA|EVEN3.SA|EZTC3.SA|EZTC3.SA|FIEI3.SA|HBOR3.SA|JHSF3.SA|RENT3.SA|RENT3.SA|LOGN3.SA|LPSB3.SA|MRVE3.SA|MULT3.SA|PDGR3.SA|RDNI3.SA|SYNE3.SA|TCSA3.SA|TGMA3.SA|TPIS3.SA|TRIS3.SA|VIVR3.SA,0.20702630535760147,Eleitoral
Consumo Cíclico,2010,-0.005549113746209235,0.039782704934414714,28,0.039782704934414714,0.010814023144850471,0.1719826870748438,0.2315186009535687,0.38639477640390396,ALPA4.SA|BMKS3.SA|CAMB3.SA|CTSA4.SA|CTSA4.SA|CEDO4.SA|PNVL3.SA|DOHL4.SA|CGRA4.SA|BHIA3.SA|GUAR3.SA|HOOT4.SA|CTKA4.SA|LREN3.SA|ESTR4.SA|MNDL3.SA|PTNT4.SA|RADL3.SA|SLED4.SA|AHEB3.SA|TEKA4.SA|TXRX4.SA|VULC3.SA|AMER3.SA|GSHP3.SA|GRND3.SA|PFRM3.SA|VSTE3.SA,0.07403990451576188,Eleitoral
Consumo Não Cíclico,2010,-0.05027660229376915,-0.050414270293658234,10,-0.050414270293658234,-0.04216908162354571,0.09527368489359966,0.12859066058079346,0.064453125,APTI4.SA|BAUH4.SA|JOPA4.SA|MNPR3.SA|AGRO3.SA|CSAN3.SA|MDIA3.SA|BEEF3.SA|SLCE3.SA|SMTO3.SA,0.10896490043658784,Eleitoral
Financeiro,2010,0.008020706793762883,-0.003497904811188323,28,-0.003497904811188323,0.009861591740126463,0.0981642082484955,0.8518531247601396,0.973184622824192,RPAD5.SA|BMIN4.SA|BPAN4.SA|BBDC4.SA|BAZA3.SA|BBAS3.SA|BGIP4.SA|BPAR3.SA|BRSR6.SA|BNBR3.SA|BMEB4.SA|BMIN4.SA|BEES4.SA|PEAB4.SA|HBTS5.SA|BRGE11.SA|MERC4.SA|CRIV4.SA|FIGE4.SA|ITSA4.SA|MERC4.SA|MERC4.SA|PSSA3.SA|ABCB4.SA|ABCB4.SA|BPAN4.SA|SANB11.SA|ITUB4.SA,0.16169252881149518,Eleitoral
Materiais Básicos,2010,-0.10702721688533709,-0.021934843273286854,30,-0.021934843273286854,-0.051610086080841056,0.1808037828342417,0.5116270872296841,0.28008678182959557,BALM4.SA|BRAP4.SA|BRKM5.SA|FESA4.SA|CSNA3.SA|MSPA4.SA|EALT3.SA|GGBR4.SA|HAGA4.SA|HETA4.SA|RANI3.SA|KEPL3.SA|MGEL4.SA|GOAU3.SA|GOAU3.SA|MTSA4.SA|NORD3.SA|PATI4.SA|PMAM3.SA|SNSY5.SA|SHUL4.SA|SUZB3.SA|TKNO4.SA|CRPG5.SA|TUPY3.SA|UNIP6.SA|USIM5.SA|VALE3.SA|MWET4.SA|FHER3.SA,0.17822016514227018,Eleitoral
"Petróleo, Gás e Biocombustíveis",2010,-0.0053014667232098725,-0.030948528167336214,3,-0.030948528167336214,0.0007072146312749883,0.09091725980800407,0.6151955320674432,,PETR4.SA|RPMG3.SA|UGPA3.SA,0.22875600702313012,Eleitoral
Saúde,2010,0.08786616137790917,0.029442901343756673,6,0.029442901343756673,0.0094218988248429,0.06457723069620722,0.3148512201009735,0.5625,BOBR4.SA|BIOM3.SA|DASA3.SA|FLRY3.SA|HYPE3.SA|ODPV3.SA,0.10882047088691656,Eleitoral
Utilidade Pública,2010,-0.057505337922138855,-0.0423847257375321,23,-0.0423847257375321,-0.026581305406407907,0.2305125705266012,0.38740884586372415,0.3446848392486572,CBEE3.SA|CASN3.SA|CEEB3.SA|COCE5.SA|CMIG4.SA|SBSP3.SA|SAPR4.SA|BIOM3.SA|CGAS5.SA|CEBR3.SA|CPFE3.SA|EKTR4.SA|EMAE4.SA|ENMT3.SA|ENGI11.SA|EQPA3.SA|ISAE4.SA|GEPA3.SA|GPAR3.SA|ENEV3.SA|EQTL3.SA|LIGT3.SA|TAEE11.SA,0.07834728697233706,Eleitoral
Bens Industriais,2014,0.05874466916440265,0.00011422807397365453,18,0.00011422807397365453,-0.006341075140889552,0.09179314471451286,0.995848990111703,0.8985748291015625,BDLL4.SA|FRAS3.SA|INEP3.SA|MYPK3.SA|LEVE3.SA|POMO4.SA|RSUL4.SA|MMAQ4.SA|PLAS3.SA|RAPT4.SA|RCSL3.SA|ROMI3.SA|TASA4.SA|WEGE3.SA|WHRL3.SA|WLMM4.SA|LUPA3.SA|FRIO3.SA,0.04940062109721707,Eleitoral
Comunicações,2014,0.14982977068590478,0.09774789873231782,7,0.09774789873231782,0.05886087358496139,0.26408987708281134,0.3652629307979163,0.46875,DTCY3.SA|OIBR3.SA|PDTC3.SA|TELB4.SA|VIVT3.SA|TOTS3.SA|VLID3.SA,0.08951346795829065,Eleitoral
Construção e Transporte,2014,0.025702556114638987,0.0006688676483355943,40,0.0006688676483355943,-0.0010863585734626202,0.09266315993789025,0.9638203126916719,0.7145974449867936,AZEV4.SA|CALI3.SA|SULT4.SA|CORR4.SA|CYRE3.SA|ETER3.SA|EUCA4.SA|VSPT3.SA|GFSA3.SA|JFEN3.SA|MRSA3B.SA|PTBL3.SA|RSID3.SA|SOND5.SA|TPIS3.SA|TEND3.SA|DXCO3.SA|DIRR3.SA|EVEN3.SA|EZTC3.SA|EZTC3.SA|FIEI3.SA|HBOR3.SA|JHSF3.SA|RENT3.SA|RENT3.SA|LOGN3.SA|LPSB3.SA|MILS3.SA|MRVE3.SA|MULT3.SA|PDGR3.SA|RDNI3.SA|SYNE3.SA|TCSA3.SA|TGMA3.SA|TPIS3.SA|TRIS3.SA|UCAS3.SA|VIVR3.SA,0.1612506687303529,Eleitoral
Consumo Cíclico,2014,0.020812865103493165,-0.00316084528641527,35,-0.00316084528641527,-0.009085312619677488,0.1386740999116004,0.8935278324912866,0.7647382524446584,ALPA4.SA|BMKS3.SA|CAMB3.SA|CTSA4.SA|CTSA4.SA|PCAR3.SA|CEDO4.SA|PNVL3.SA|DOHL4.SA|CGRA4.SA|BHIA3.SA|GUAR3.SA|HOOT4.SA|CTKA4.SA|LREN3.SA|ESTR4.SA|MNDL3.SA|PTNT4.SA|RADL3.SA|SLED4.SA|AHEB3.SA|TEKA4.SA|TXRX4.SA|VULC3.SA|AMER3.SA|AZZA3.SA|CVCB3.SA|GSHP3.SA|GRND3.SA|MGLU3.SA|AMAR3.SA|PFRM3.SA|SHOW3.SA|TECN3.SA|VSTE3.SA,0.07343802317445212,Eleitoral
Consumo Não Cíclico,2014,0.030389574327729648,-0.008591754930591805,12,-0.008591754930591805,0.01663165560747837,0.11611829897854652,0.8024389520833053,0.90966796875,APTI4.SA|BAUH4.SA|JOPA4.SA|MNPR3.SA|ABEV3.SA|AGRO3.SA|CSAN3.SA|MDIA3.SA|BEEF3.SA|NUTR3.SA|SLCE3.SA|SMTO3.SA,0.08752047546179838,Eleitoral
Financeiro,2014,-0.026415523392894283,-0.06436491061105254,32,-0.06436491061105254,-0.014143534048358386,0.12985562765821151,0.008634686457488347,0.02941882098093629,RPAD5.SA|BMIN4.SA|BPAN4.SA|BBDC4.SA|BAZA3.SA|BBAS3.SA|BGIP4.SA|BPAR3.SA|BRSR6.SA|BNBR3.SA|BMEB4.SA|BMIN4.SA|BEES4.SA|PEAB4.SA|HBTS5.SA|BRGE11.SA|MERC4.SA|CRIV4.SA|FIGE4.SA|ITSA4.SA|MERC4.SA|MERC4.SA|PSSA3.SA|QUAL3.SA|ABCB4.SA|ABCB4.SA|BPAN4.SA|SANB11.SA|BBSE3.SA|PCAR3.SA|ITUB4.SA|QUAL3.SA,0.1366495444925287,Eleitoral
